Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2021-02-12 13:43:56.99,2021-02-12 21:43:56.99,0,39.989161,116.491105,14.41693756761401,37.2980286302045,9.827143250539223,0,0,0,175.9506225585938,8.02067756652832,15.33921337127686,10,0.1063943176049339,0
2021-02-12 13:43:57.99,2021-02-12 21:43:57.99,0.7606405019760132,39.989157,116.491112,14.42373862656711,37.30384061392397,9.817158312239584,0,0,0,175.9506225585938,10.63366413116455,17.95219993591309,10,0.12587795870587,0
2021-02-12 13:44:07.99,2021-02-12 21:44:07.99,10.76057684421539,39.989212,116.491072,14.543128204815,37.00495558883995,9.639411564686581,6.952996465359015,4.347070752555673,0,307.5832585276689,259.5689697265625,266.8875122070312,10,0.374291413653079,0
2021-02-12 13:44:09.99,2021-02-12 21:44:09.99,12.76056230068207,39.989154,116.491001,14.58800870067779,36.93805370014161,9.571354942955992,15.83367092476964,6.2138271064719,0,236.1817872190794,203.5991668701172,210.9177093505859,10,0.6628110235072188,0
2021-02-12 13:44:10.99,2021-02-12 21:44:10.99,13.76055479049683,39.989097,116.490966,14.61050147419861,37.31602595560253,9.536984846770968,22.78536812888861,7.221009556174248,0,217.6516447641707,198.1054382324219,205.4239807128906,10,0.8493242036597078,0
2021-02-12 13:44:11.99,2021-02-12 21:44:11.99,14.76054954528809,39.989025,116.490972,14.64538772424626,37.61803964339197,9.483324928610001,30.8633490830706,8.172899122507504,0,207.5440610341347,231.1584167480469,238.4769592285156,10,1.055012957671544,0
2021-02-12 13:44:12.99,2021-02-12 21:44:12.99,15.7605391740799,39.988971,116.490952,14.68132833387138,38.11989702470601,9.427588856550985,37.12240263421354,8.204935920548134,0,207.7954324526416,187.5518646240234,194.8704071044922,10,1.209714555472441,0
2021-02-12 13:44:13.99,2021-02-12 21:44:13.99,16.76053142547607,39.988918,116.490991,14.67149660267232,36.50596907734871,9.442882014134968,43.9243574598699,8.163909676671215,0,201.44509047485,214.3865203857422,221.7050628662109,10,1.399980880217608,0
2021-02-12 13:44:15.99,2021-02-12 21:44:15.99,18.76051306724548,39.988830,116.491049,14.6953790902877,39.09982826374471,9.405672048707308,54.79821851908198,7.762617823051491,0,178.990966796875,219.0364227294922,226.3549652099609,10,1.67943714053705,0
2021-02-12 13:44:16.99,2021-02-12 21:44:16.99,19.76050877571106,39.988728,116.491061,14.70608313307511,39.37286412809044,9.388927104743257,66.26600846011706,8.424271901927698,0,178.990966796875,227.0565338134766,234.3750762939453,10,1.931314083542277,0
2021-02-12 13:44:17.99,2021-02-12 21:44:17.99,20.76049697399139,39.988536,116.491056,14.56266549432339,39.03688293788582,9.609870290255836,87.59137192699338,9.392590737777972,0,179.0647583007812,223.7943115234375,231.1128540039062,10,50.00186567578521,0
2021-02-12 13:44:18.99,2021-02-12 21:44:18.99,21.76048791408539,39.988413,116.491054,14.52173827905074,39.1483235117048,9.671605381210055,101.2707674680478,9.416938716299034,0,179.0647583007812,202.4986724853516,209.8172149658203,10,57.76810213541112,0
2021-02-12 13:44:19.99,2021-02-12 21:44:19.99,22.76047945022583,39.988299,116.491060,14.48804830350824,39.25221429485828,9.72200029059406,114.0148565904125,9.699125596204816,0,179.0647583007812,211.3356781005859,218.6542205810547,10,65.51027710003427,0
2021-02-12 13:44:20.99,2021-02-12 21:44:20.99,23.76047217845917,39.988149,116.491079,14.45044887436746,39.29827591590583,9.777799375339582,130.8482322567727,10.74539278190641,0,180,204.1788482666016,211.4973907470703,10,73.08513695797549,0
2021-02-12 13:44:21.99,2021-02-12 21:44:21.99,24.76046144962311,39.988026,116.491097,14.44381403618953,39.07211058493704,9.787597733002368,144.5345595062134,11.08271880859275,0,180,174.93896484375,182.2575073242188,10,79.60896322116578,0
2021-02-12 13:44:22.99,2021-02-12 21:44:22.99,25.76045513153076,39.987928,116.491116,14.42668221988881,39.68850089050829,9.812832079549876,155.6084409807964,10.95259735128746,0,179.2871551513672,186.4387664794922,193.7573089599609,10,80.34351901844404,0
2021-02-12 13:44:23.99,2021-02-12 21:44:23.99,26.76044237613678,39.987811,116.491128,14.42110634624973,39.31624673493207,9.821024643348306,168.6315745405599,11.11965122149459,0,179.2871551513672,186.4387664794922,193.7573089599609,10,85.15045780707517,0
2021-02-12 13:44:24.99,2021-02-12 21:44:24.99,27.76043307781219,39.987714,116.491135,14.42568854509286,39.0895322477445,9.814292806671075,179.514569461995,10.56180056726322,0,179.2871551513672,185.4161987304688,192.7347412109375,10,90.71013760372676,0
2021-02-12 13:44:25.99,2021-02-12 21:44:25.99,28.7604238986969,39.987604,116.491127,14.42928246108,39.13731650542468,9.80900815340002,191.7291776526303,10.48630424623866,0,179.2871551513672,184.3997650146484,191.7183074951172,10,104.3432110766912,0
2021-02-12 13:44:26.99,2021-02-12 21:44:26.99,29.76041603088379,39.987505,116.491118,14.43104360052264,39.26497453544289,9.806416975374521,202.8046903979704,10.27384326008422,0,179.2871551513672,183.3947448730469,190.7132873535156,10,111.1123506093663,0
2021-02-12 13:44:27.99,2021-02-12 21:44:27.99,30.76041030883789,39.987411,116.491109,14.43526800118122,39.04950769338757,9.80019749949828,213.2877453481206,9.950431400344614,0,179.2871551513672,182.3946685791016,189.7132110595703,10,116.8233800058745,0
2021-02-12 13:44:28.99,2021-02-12 21:44:28.99,31.76039659976959,39.987312,116.491106,14.43392720242263,39.08782223518938,9.802172147552964,224.2912534056778,9.881517561267787,0,179.2871551513672,181.3805084228516,188.6990509033203,10,125.8187145424098,0
2021-02-12 13:44:29.99,2021-02-12 21:44:29.99,32.76038610935211,39.987214,116.491112,14.43553630819764,38.96060426346958,9.799802283199732,235.2090527856186,10.05616098753838,0,179.2871551513672,181.3805084228516,188.6990509033203,10,142.4774646327083,0
2021-02-12 13:44:30.99,2021-02-12 21:44:30.99,33.76037752628326,39.987123,116.491115,14.44383597653022,38.97664937376976,9.787565354989468,245.34960019382,9.382563958293121,0,179.2871551513672,181.3805084228516,188.6990509033203,10,149.7670946541975,0
2021-02-12 13:44:31.99,2021-02-12 21:44:31.99,34.76037120819092,39.987037,116.491116,14.44653242936495,38.72542175650597,9.783584928971885,254.9732416633197,8.463731014642713,0,179.2871551513672,182.4029998779297,189.7215423583984,10,165.7421588941322,0
2021-02-12 13:44:32.99,2021-02-12 21:44:32.99,35.76035833358765,39.986978,116.491119,14.44789818622411,38.35912076942623,9.78156793646095,261.5524306388909,5.528257920518672,0,179.2871551513672,184.4338226318359,191.7523651123047,10,189.8218624021913,0
2021-02-12 13:44:33.99,2021-02-12 21:44:33.99,36.7603497505188,39.986928,116.491123,14.45221193341098,38.37005093228072,9.775193273121108,267.0591079384786,5.19224085908929,0,179.2871551513672,196.6260223388672,203.9445648193359,10,225.8350795697575,0
2021-02-12 13:44:34.99,2021-02-12 21:44:34.99,37.76033878326416,39.986881,116.491106,14.45789640913488,38.14154066611081,9.766783744806869,272.541948475415,5.263443908905472,0,179.2871551513672,214.5374450683594,221.8559875488281,10,274.0526233164628,0
2021-02-12 13:44:35.99,2021-02-12 21:44:35.99,38.76032865047455,39.986830,116.491066,14.4682403041108,38.0676799537614,9.751454035045374,279.1567379009599,7.569705252000419,0,221.6689782680438,242.138916015625,249.4574584960938,10,318.3126206663595,0
2021-02-12 13:44:36.99,2021-02-12 21:44:36.99,39.76031982898712,39.986745,116.490940,14.47631828791295,38.32195454835892,9.73945799940304,293.4913374831111,9.505728981133847,0,272.1129150390625,270.4271240234375,277.7456665039062,10,332.7630556084688,0
2021-02-12 13:44:37.99,2021-02-12 21:44:37.99,40.76030933856964,39.986747,116.490827,14.49097473837628,38.38824250269681,9.717637800764106,303.0636876346455,10.61593400122997,0,270.1820373535156,274.19482421875,281.5133666992188,10,282.0585086615893,0
2021-02-12 13:44:38.99,2021-02-12 21:44:38.99,41.76029920578003,39.986746,116.490675,14.48981029711993,38.72397586051375,9.719373994685887,316.0353928552219,12.20353228816577,0,270.1820373535156,273.1572875976562,280.475830078125,10,185.9567205436719,0
2021-02-12 13:44:39.99,2021-02-12 21:44:39.99,42.76028978824615,39.986746,116.490511,14.51030289635101,38.74189621116966,9.688753436394501,330.0845287942113,12.88874755625048,0,270.1820373535156,266.9440307617188,274.2625732421875,10,166.5741707373903,0
