# x_m,y_m,w_tr_right_m,w_tr_left_m
0,0,4,4
0.032054,0.98971,4,4
0.063836,1.981,4,4
0.095454,2.9728,4,4
0.12615,3.9684,4,4
0.15684,4.9639,4,4
0.18654,5.962,4,4
0.21569,6.9614,4,4
0.24452,7.9613,4,4
0.27148,8.9641,4,4
0.29845,9.9669,4,4
0.32336,10.972,4,4
0.34717,11.977,4,4
0.37043,12.983,4,4
0.39064,13.991,4,4
0.41084,15,4,4
0.42853,16.01,4,4
0.44486,17.021,4,4
0.46063,18.033,4,4
0.47328,19.047,4,4
0.48592,20.061,4,4
0.49652,21.078,4,4
0.50601,22.095,4,4
0.51513,23.114,4,4
0.52219,24.135,4,4
0.52924,25.156,4,4
0.53529,26.18,4,4
0.54079,27.204,4,4
0.54616,28.23,4,4
0.55075,29.258,4,4
0.55535,30.286,4,4
0.55967,31.316,4,4
0.56384,32.348,4,4
0.56797,33.38,4,4
0.57183,34.415,4,4
0.57569,35.45,4,4
0.57916,36.486,4,4
0.58242,37.525,4,4
0.58554,38.563,4,4
0.58786,39.605,4,4
0.59018,40.646,4,4
0.59161,41.689,4,4
0.59256,42.734,4,4
0.59326,43.779,4,4
0.59257,44.826,4,4
0.59189,45.874,4,4
0.59007,46.923,4,4
0.58764,47.974,4,4
0.58495,49.025,4,4
0.58078,50.078,4,4
0.5766,51.13,4,4
0.57153,52.185,4,4
0.56597,53.24,4,4
0.56021,54.296,4,4
0.55326,55.354,4,4
0.5463,56.412,4,4
0.53826,57.472,4,4
0.52963,58.532,4,4
0.52074,59.593,4,4
0.51034,60.656,4,4
0.49995,61.719,4,4
0.48841,62.785,4,4
0.47626,63.852,4,4
0.46385,64.919,4,4
0.45007,65.989,4,4
0.43629,67.059,4,4
0.42153,68.132,4,4
0.40624,69.206,4,4
0.39077,70.281,4,4
0.37431,71.359,4,4
0.35785,72.437,4,4
0.34103,73.518,4,4
0.32402,74.6,4,4
0.30693,75.683,4,4
0.28938,76.77,4,4
0.27183,77.857,4,4
0.25366,78.946,4,4
0.23516,80.038,4,4
0.21647,81.129,4,4
0.19673,82.225,4,4
0.17699,83.321,4,4
0.15647,84.42,4,4
0.13551,85.52,4,4
0.11433,86.622,4,4
0.091855,87.727,4,4
0.069377,88.832,4,4
0.045602,89.941,4,4
0.021129,91.051,4,4
-0.0036411,92.162,4,4
-0.030094,93.277,4,4
-0.056548,94.391,4,4
-0.084019,95.509,4,4
-0.11204,96.628,4,4
-0.14021,97.747,4,4
-0.16924,98.869,4,4
-0.19827,99.992,4,4
-0.22748,101.12,4,4
-0.2568,102.24,4,4
-0.286,103.36,4,4
-0.31455,104.49,4,4
-0.3431,105.61,4,4
-0.37025,106.74,4,4
-0.39665,107.86,4,4
-0.42267,108.99,4,4
-0.44658,110.11,4,4
-0.47049,111.24,4,4
-0.49303,112.36,4,4
-0.51482,113.49,4,4
-0.53639,114.61,4,4
-0.55668,115.74,4,4
-0.57696,116.86,4,4
-0.59687,117.99,4,4
-0.61657,119.11,4,4
-0.63632,120.24,4,4
-0.65632,121.37,4,4
-0.67632,122.5,4,4
-0.69699,123.63,4,4
-0.71803,124.76,4,4
-0.73927,125.89,4,4
-0.76172,127.02,4,4
-0.78416,128.15,4,4
-0.80746,129.29,4,4
-0.83122,130.43,4,4
-0.85517,131.56,4,4
-0.88017,132.7,4,4
-0.90517,133.84,4,4
-0.93085,134.98,4,4
-0.95688,136.12,4,4
-0.98298,137.26,4,4
-1.0094,138.41,4,4
-1.0359,139.55,4,4
-1.062,140.7,4,4
-1.0879,141.84,4,4
-1.1136,142.99,4,4
-1.1382,144.14,4,4
-1.1628,145.29,4,4
-1.186,146.44,4,4
-1.2086,147.59,4,4
-1.2309,148.74,4,4
-1.2512,149.89,4,4
-1.2715,151.04,4,4
-1.2903,152.2,4,4
-1.3082,153.35,4,4
-1.3259,154.51,4,4
-1.3418,155.67,4,4
-1.3577,156.82,4,4
-1.3729,157.99,4,4
-1.3878,159.15,4,4
-1.4025,160.31,4,4
-1.4168,161.48,4,4
-1.431,162.64,4,4
-1.4451,163.81,4,4
-1.4591,164.98,4,4
-1.473,166.15,4,4
-1.487,167.32,4,4
-1.501,168.5,4,4
-1.515,169.67,4,4
-1.5292,170.84,4,4
-1.5434,172.02,4,4
-1.5578,173.19,4,4
-1.5722,174.36,4,4
-1.5865,175.53,4,4
-1.6008,176.69,4,4
-1.6151,177.86,4,4
-1.6293,179.02,4,4
-1.6436,180.17,4,4
-1.6581,181.32,4,4
-1.6727,182.47,4,4
-1.6874,183.61,4,4
-1.7023,184.74,4,4
-1.7171,185.87,4,4
-1.7319,186.99,4,4
-1.7466,188.1,4,4
-1.7612,189.21,4,4
-1.7753,190.3,4,4
-1.7894,191.39,4,4
-1.8028,192.47,4,4
-1.8159,193.55,4,4
-1.8287,194.62,4,4
-1.8403,195.67,4,4
-1.8518,196.73,4,4
-1.8619,197.78,4,4
-1.8712,198.81,4,4
-1.8802,199.85,4,4
-1.8873,200.87,4,4
-1.8943,201.9,4,4
-1.9001,202.91,4,4
-1.9052,203.91,4,4
-1.91,204.92,4,4
-1.9131,205.91,4,4
-1.9163,206.9,4,4
-1.9181,207.87,4,4
-1.9193,208.85,4,4
-1.9202,209.82,4,4
-1.9193,210.77,4,4
-1.9185,211.73,4,4
-1.9164,212.67,4,4
-1.9135,213.61,4,4
-1.9104,214.55,4,4
-1.9058,215.47,4,4
-1.9011,216.39,4,4
-1.8954,217.3,4,4
-1.8893,218.21,4,4
-1.883,219.11,4,4
-1.8761,220,4,4
-1.8692,220.89,4,4
-1.8626,221.77,4,4
-1.8561,222.64,4,4
-1.8497,223.51,4,4
-1.8446,224.36,4,4
-1.8394,225.22,4,4
-1.8357,226.07,4,4
-1.833,226.9,4,4
-1.8306,227.74,4,4
-1.8307,228.56,4,4
-1.8307,229.38,4,4
-1.8325,230.2,4,4
-1.8352,231,4,4
-1.8383,231.8,4,4
-1.8432,232.59,4,4
-1.8481,233.38,4,4
-1.8538,234.16,4,4
-1.8599,234.93,4,4
-1.8661,235.7,4,4
-1.8725,236.46,4,4
-1.879,237.22,4,4
-1.8852,237.97,4,4
-1.8913,238.71,4,4
-1.8972,239.45,4,4
-1.9022,240.18,4,4
-1.9071,240.91,4,4
-1.9111,241.63,4,4
-1.9146,242.35,4,4
-1.9177,243.06,4,4
-1.919,243.76,4,4
-1.9202,244.46,4,4
-1.9194,245.15,4,4
-1.9175,245.84,4,4
-1.915,246.53,4,4
-1.9097,247.2,4,4
-1.9043,247.88,4,4
-1.8966,248.54,4,4
-1.8877,249.21,4,4
-1.8783,249.87,4,4
-1.867,250.52,4,4
-1.8556,251.17,4,4
-1.8442,251.81,4,4
-1.8328,252.45,4,4
-1.8217,253.09,4,4
-1.8121,253.73,4,4
-1.8026,254.36,4,4
-1.7955,254.98,4,4
-1.7897,255.61,4,4
-1.7845,256.23,4,4
-1.7828,256.85,4,4
-1.781,257.46,4,4
-1.7811,258.07,4,4
-1.7822,258.68,4,4
-1.7835,259.28,4,4
-1.7857,259.88,4,4
-1.788,260.48,4,4
-1.7892,261.07,4,4
-1.7899,261.65,4,4
-1.7902,262.24,4,4
-1.7877,262.81,4,4
-1.7852,263.39,4,4
-1.7799,263.96,4,4
-1.7731,264.52,4,4
-1.7655,265.08,4,4
-1.7535,265.63,4,4
-1.7414,266.18,4,4
-1.7257,266.73,4,4
-1.708,267.28,4,4
-1.6894,267.82,4,4
-1.6657,268.36,4,4
-1.642,268.9,4,4
-1.614,269.44,4,4
-1.5837,269.97,4,4
-1.5524,270.51,4,4
-1.5155,271.05,4,4
-1.4786,271.58,4,4
-1.4374,272.11,4,4
-1.394,272.65,4,4
-1.3495,273.18,4,4
-1.2995,273.71,4,4
-1.2495,274.24,4,4
-1.1948,274.77,4,4
-1.1377,275.3,4,4
-1.0794,275.82,4,4
-1.0144,276.35,4,4
-0.9495,276.87,4,4
-0.87869,277.39,4,4
-0.8047,277.91,4,4
-0.72928,278.42,4,4
-0.64566,278.94,4,4
-0.56205,279.46,4,4
-0.4717,279.97,4,4
-0.37771,280.48,4,4
-0.28222,281,4,4
-0.17821,281.51,4,4
-0.074199,282.02,4,4
0.035676,282.53,4,4
0.14871,283.04,4,4
0.26305,283.55,4,4
0.38479,284.06,4,4
0.50654,284.57,4,4
0.63387,285.07,4,4
0.76422,285.58,4,4
0.89596,286.09,4,4
1.0356,286.59,4,4
1.1752,287.09,4,4
1.3218,287.6,4,4
1.4721,288.1,4,4
1.6243,288.6,4,4
1.7864,289.09,4,4
1.9486,289.59,4,4
2.1193,290.08,4,4
2.2946,290.57,4,4
2.4718,291.06,4,4
2.66,291.55,4,4
2.8483,292.03,4,4
3.0442,292.51,4,4
3.2444,293,4,4
3.4462,293.48,4,4
3.6571,293.95,4,4
3.8681,294.43,4,4
4.085,294.9,4,4
4.3051,295.37,4,4
4.5264,295.84,4,4
4.7552,296.31,4,4
4.9839,296.77,4,4
5.2186,297.24,4,4
5.4564,297.7,4,4
5.6958,298.15,4,4
5.9436,298.61,4,4
6.1914,299.06,4,4
6.4469,299.51,4,4
6.7064,299.95,4,4
6.9678,300.4,4,4
7.2399,300.84,4,4
7.512,301.28,4,4
7.7925,301.71,4,4
8.0777,302.14,4,4
8.3648,302.57,4,4
8.663,302.99,4,4
8.9613,303.41,4,4
9.2678,303.83,4,4
9.5788,304.24,4,4
9.8916,304.65,4,4
10.215,305.06,4,4
10.539,305.46,4,4
10.871,305.86,4,4
11.207,306.25,4,4
11.545,306.65,4,4
11.893,307.03,4,4
12.242,307.41,4,4
12.598,307.79,4,4
12.959,308.16,4,4
13.322,308.53,4,4
13.694,308.89,4,4
14.066,309.25,4,4
14.444,309.61,4,4
14.826,309.96,4,4
15.21,310.31,4,4
15.601,310.66,4,4
15.992,311,4,4
16.388,311.34,4,4
16.788,311.67,4,4
17.188,312.01,4,4
17.596,312.34,4,4
18.003,312.66,4,4
18.416,312.98,4,4
18.831,313.3,4,4
19.248,313.62,4,4
19.672,313.93,4,4
20.096,314.24,4,4
20.525,314.54,4,4
20.958,314.85,4,4
21.391,315.14,4,4
21.833,315.43,4,4
22.274,315.72,4,4
22.72,316.01,4,4
23.169,316.29,4,4
23.619,316.57,4,4
24.077,316.83,4,4
24.534,317.1,4,4
24.996,317.37,4,4
25.462,317.63,4,4
25.928,317.88,4,4
26.402,318.13,4,4
26.875,318.38,4,4
27.355,318.62,4,4
27.837,318.86,4,4
28.321,319.1,4,4
28.812,319.32,4,4
29.303,319.55,4,4
29.8,319.77,4,4
30.3,319.98,4,4
30.801,320.2,4,4
31.31,320.4,4,4
31.818,320.61,4,4
32.331,320.8,4,4
32.847,321,4,4
33.364,321.19,4,4
33.887,321.38,4,4
34.411,321.56,4,4
34.938,321.74,4,4
35.469,321.92,4,4
36,322.09,4,4
36.538,322.26,4,4
37.075,322.43,4,4
37.618,322.59,4,4
38.163,322.74,4,4
38.71,322.9,4,4
39.264,323.04,4,4
39.817,323.19,4,4
40.376,323.33,4,4
40.937,323.46,4,4
41.5,323.6,4,4
42.07,323.72,4,4
42.639,323.85,4,4
43.213,323.97,4,4
43.79,324.09,4,4
44.368,324.21,4,4
44.952,324.33,4,4
45.536,324.45,4,4
46.124,324.56,4,4
46.714,324.67,4,4
47.306,324.78,4,4
47.902,324.89,4,4
48.499,325,4,4
49.1,325.11,4,4
49.703,325.21,4,4
50.307,325.31,4,4
50.917,325.41,4,4
51.526,325.51,4,4
52.139,325.61,4,4
52.755,325.7,4,4
53.371,325.79,4,4
53.993,325.88,4,4
54.615,325.97,4,4
55.24,326.05,4,4
55.868,326.13,4,4
56.497,326.21,4,4
57.131,326.28,4,4
57.765,326.35,4,4
58.404,326.41,4,4
59.045,326.48,4,4
59.687,326.54,4,4
60.335,326.59,4,4
60.982,326.65,4,4
61.635,326.7,4,4
62.289,326.74,4,4
62.945,326.79,4,4
63.606,326.83,4,4
64.268,326.87,4,4
64.933,326.91,4,4
65.601,326.94,4,4
66.269,326.97,4,4
66.943,327,4,4
67.617,327.03,4,4
68.294,327.05,4,4
68.973,327.07,4,4
69.653,327.09,4,4
70.338,327.1,4,4
71.023,327.11,4,4
71.711,327.12,4,4
72.401,327.13,4,4
73.091,327.14,4,4
73.787,327.14,4,4
74.482,327.14,4,4
75.181,327.14,4,4
75.882,327.13,4,4
76.583,327.13,4,4
77.289,327.12,4,4
77.996,327.11,4,4
78.705,327.1,4,4
79.417,327.09,4,4
80.13,327.08,4,4
80.847,327.07,4,4
81.564,327.05,4,4
82.285,327.04,4,4
83.008,327.02,4,4
83.732,327.01,4,4
84.461,326.99,4,4
85.19,326.97,4,4
85.923,326.95,4,4
86.657,326.93,4,4
87.393,326.91,4,4
88.134,326.89,4,4
88.874,326.87,4,4
89.619,326.84,4,4
90.365,326.82,4,4
91.112,326.8,4,4
91.863,326.77,4,4
92.613,326.74,4,4
93.367,326.71,4,4
94.122,326.68,4,4
94.877,326.65,4,4
95.635,326.62,4,4
96.393,326.58,4,4
97.153,326.55,4,4
97.913,326.51,4,4
98.674,326.47,4,4
99.437,326.43,4,4
100.2,326.38,4,4
100.97,326.34,4,4
101.73,326.29,4,4
102.5,326.25,4,4
103.27,326.2,4,4
104.04,326.15,4,4
104.82,326.1,4,4
105.59,326.05,4,4
106.37,326,4,4
107.15,325.95,4,4
107.93,325.9,4,4
108.72,325.85,4,4
109.51,325.8,4,4
110.3,325.75,4,4
111.09,325.7,4,4
111.88,325.65,4,4
112.68,325.6,4,4
113.47,325.56,4,4
114.27,325.51,4,4
115.07,325.46,4,4
115.87,325.42,4,4
116.67,325.37,4,4
117.48,325.33,4,4
118.28,325.28,4,4
119.09,325.24,4,4
119.9,325.2,4,4
120.71,325.15,4,4
121.52,325.11,4,4
122.34,325.06,4,4
123.15,325.02,4,4
123.97,324.97,4,4
124.79,324.93,4,4
125.61,324.88,4,4
126.43,324.84,4,4
127.26,324.79,4,4
128.08,324.75,4,4
128.91,324.71,4,4
129.74,324.66,4,4
130.57,324.62,4,4
131.4,324.58,4,4
132.24,324.54,4,4
133.08,324.5,4,4
133.91,324.46,4,4
134.75,324.43,4,4
135.6,324.39,4,4
136.44,324.35,4,4
137.29,324.32,4,4
138.14,324.28,4,4
138.99,324.25,4,4
139.84,324.21,4,4
140.7,324.18,4,4
141.55,324.15,4,4
142.41,324.11,4,4
143.27,324.08,4,4
144.14,324.05,4,4
145,324.02,4,4
145.87,324,4,4
146.74,323.97,4,4
147.61,323.94,4,4
148.48,323.92,4,4
149.35,323.9,4,4
150.23,323.87,4,4
151.11,323.85,4,4
151.99,323.83,4,4
152.87,323.81,4,4
153.75,323.8,4,4
154.64,323.78,4,4
155.52,323.76,4,4
156.41,323.75,4,4
157.3,323.74,4,4
158.19,323.72,4,4
159.09,323.71,4,4
159.98,323.7,4,4
160.88,323.69,4,4
161.78,323.69,4,4
162.68,323.68,4,4
163.58,323.68,4,4
164.48,323.67,4,4
165.39,323.67,4,4
166.3,323.68,4,4
167.21,323.68,4,4
168.12,323.69,4,4
169.03,323.69,4,4
169.94,323.7,4,4
170.86,323.72,4,4
171.78,323.74,4,4
172.7,323.76,4,4
173.62,323.78,4,4
174.54,323.8,4,4
