# x_m,y_m,w_tr_right_m,w_tr_left_m
599.85,631.54,4,4
600.67,633.75,4,4
602.27,638.07,4,4
603.86,642.38,4,4
605.45,646.7,4,4
607.04,651.02,4,4
608.62,655.35,4,4
610.19,659.66,4,4
611.77,663.98,4,4
613.33,668.29,4,4
614.89,672.6,4,4
616.46,676.94,4,4
618.01,681.26,4,4
619.57,685.59,4,4
621.12,689.92,4,4
622.68,694.26,4,4
624.22,698.58,4,4
625.77,702.91,4,4
627.31,707.25,4,4
628.85,711.57,4,4
630.39,715.91,4,4
631.93,720.24,4,4
633.47,724.57,4,4
635,728.9,4,4
636.53,733.24,4,4
638.06,737.58,4,4
639.59,741.92,4,4
641.11,746.25,4,4
642.64,750.59,4,4
644.17,754.94,4,4
645.69,759.27,4,4
647.21,763.61,4,4
648.72,767.92,4,4
650.25,772.27,4,4
651.77,776.62,4,4
653.28,780.95,4,4
654.8,785.29,4,4
656.32,789.63,4,4
657.84,793.96,4,4
659.36,798.3,4,4
660.88,802.62,4,4
662.4,806.95,4,4
663.93,811.29,4,4
665.47,815.65,4,4
666.99,819.96,4,4
668.54,824.28,4,4
670.1,828.61,4,4
671.67,832.94,4,4
673.27,837.27,4,4
674.87,841.58,4,4
676.5,845.88,4,4
678.15,850.18,4,4
679.82,854.46,4,4
681.52,858.75,4,4
683.25,863.01,4,4
685.03,867.27,4,4
686.84,871.52,4,4
688.68,875.73,4,4
690.58,879.93,4,4
692.52,884.1,4,4
694.52,888.24,4,4
696.58,892.36,4,4
698.71,896.44,4,4
700.9,900.49,4,4
703.18,904.5,4,4
705.53,908.47,4,4
707.95,912.35,4,4
710.46,916.2,4,4
713.06,919.98,4,4
715.77,923.7,4,4
718.59,927.36,4,4
721.51,930.92,4,4
724.55,934.38,4,4
727.68,937.72,4,4
730.93,940.95,4,4
734.3,944.06,4,4
737.8,947.04,4,4
741.42,949.87,4,4
745.16,952.55,4,4
749,955.05,4,4
752.98,957.38,4,4
757.04,959.51,4,4
761.22,961.45,4,4
765.48,963.19,4,4
769.83,964.7,4,4
774.22,965.98,4,4
778.67,967.03,4,4
783.18,967.85,4,4
787.73,968.43,4,4
792.27,968.77,4,4
796.82,968.87,4,4
801.37,968.74,4,4
805.95,968.38,4,4
810.5,967.78,4,4
815.01,966.95,4,4
819.46,965.88,4,4
823.86,964.58,4,4
828.18,963.05,4,4
832.42,961.28,4,4
836.54,959.28,4,4
840.55,957.04,4,4
844.41,954.57,4,4
848.11,951.88,4,4
851.63,948.97,4,4
854.76,946.04,4,4
857.81,942.81,4,4
860.64,939.39,4,4
863.15,935.94,4,4
865.45,932.34,4,4
867.51,928.6,4,4
869.33,924.74,4,4
870.83,920.95,4,4
872.16,916.9,4,4
873.18,912.97,4,4
873.94,908.98,4,4
874.44,904.97,4,4
874.67,900.93,4,4
874.62,896.98,4,4
874.35,893.64,4,4
873.86,890.33,4,4
873.15,887.1,4,4
872.21,883.92,4,4
871.06,880.86,4,4
869.7,877.88,4,4
868.16,875.07,4,4
866.53,872.54,4,4
864.72,870.13,4,4
862.81,867.94,4,4
860.73,865.9,4,4
858.76,864.24,4,4
856.66,862.73,4,4
854.44,861.39,4,4
852.29,860.3,4,4
849.99,859.37,4,4
847.72,858.64,4,4
845.4,858.1,4,4
843.04,857.74,4,4
840.38,857.56,4,4
837.72,857.6,4,4
835.01,857.84,4,4
832.32,858.28,4,4
829.39,858.98,4,4
826.46,859.91,4,4
823.31,861.17,4,4
819.91,862.81,4,4
816.62,864.66,4,4
812.73,867.17,4,4
809.04,869.87,4,4
805.44,872.77,4,4
801.95,875.77,4,4
798.5,878.81,4,4
795.02,881.82,4,4
791.47,884.72,4,4
787.75,887.41,4,4
784.7,889.33,4,4
782.09,890.74,4,4
779.37,891.95,4,4
777.11,892.75,4,4
775.07,893.3,4,4
773,893.67,4,4
771.19,893.84,4,4
769.34,893.85,4,4
767.51,893.7,4,4
765.79,893.41,4,4
764.08,892.96,4,4
762.43,892.35,4,4
760.85,891.61,4,4
759.33,890.72,4,4
757.89,889.69,4,4
756.5,888.5,4,4
755.23,887.2,4,4
753.96,885.65,4,4
752.82,884,4,4
751.8,882.18,4,4
750.85,880.12,4,4
750.08,877.99,4,4
749.42,875.61,4,4
748.92,873.03,4,4
748.6,870.19,4,4
748.48,867.34,4,4
748.58,863.94,4,4
748.93,860.51,4,4
749.51,857.12,4,4
750.39,853.44,4,4
751.54,849.74,4,4
752.99,845.93,4,4
754.77,842.04,4,4
756.77,838.26,4,4
759.18,834.35,4,4
761.7,830.75,4,4
764.56,827.15,4,4
767.61,823.74,4,4
